Id,Label,viralcentrality
1.57293e+18,Farhangn1Arezoo,0.0
1.57295e+18,Chahdortt,0.0
1.573e+18,IranBan45405993,0.0
1.57256e+18,Mard_e_kohan,0.0
1.57304e+18,NavVviiD,0.0
1.57305e+18,Pargol2020,0.0
1.57309e+18,f_poory,0.0
1.57319e+18,kiku2536,0.0
1.57321e+18,DokhtIrannn,0.0
1.57321e+18,payoshiya,0.0
1.57321e+18,bardi1980,0.0
1.57322e+18,ArteshAriamehr,0.0
1.57327e+18,lojjhpejkkd,0.0
1.57257e+18,Cassandana22,0.0
1.57255e+18,Aliberalbot,0.0
1.57143e+18,Hossein_68_38,0.0
1.5721e+18,Wander1Mystical,0.0
1.57156e+18,Sorena2024King,0.0
1.57173e+18,PedramKianipk,0.0
1.57186e+18,Lillian3003,0.0
1.57196e+18,Alak44190056,0.0
1.57196e+18,jwd06342045,0.0
1.57199e+18,Zeidebastami,0.0
1.57201e+18,Aysan_Iran,0.0
1.57205e+18,MakanKey,0.0
1.57209e+18,Baran98427211,0.0
1.57219e+18,shinestar888,0.0
1.57254e+18,antilashi2000,0.0
1.57221e+18,tii_ech,0.0
1.57223e+18,Shiny35347969,0.0
1.5723e+18,mohammadd4456,0.0
1.57231e+18,bella_s369,0.0
1.57238e+18,SourenaSouren,0.0
1.57242e+18,mmdbqry2,0.0
1.57249e+18,MattTheRat_,0.0
1.57251e+18,h0llyjohnston,0.0
1.57251e+18,akhuondkosh2,0.0
1.487e+18,hamdrezz,0.0
1.48383e+18,Rebessaa,0.0
1.48673e+18,dadban4,0.0
1.36171e+18,asgharshiri2,0.0
1.3559e+18,4dr_tara,0.0
1.35598e+18,callmeshakilla,0.0
1.35668e+18,aniimal_lover,0.0
1.35706e+18,Kasraahmadi13,0.0
1.35752e+18,avatoday_news,0.0
1.35794e+18,IRAANBAAN,0.0
1.3584e+18,sinai980,0.0
1.35949e+18,money90094727,0.0
1.36038e+18,CameronBehzadi,0.0
1.36243e+18,USEnvoyIran,0.0
1.3557e+18,noodlesss1990,0.0
1.36244e+18,Negii2201,0.0
1.36274e+18,ImMA8172,0.0
1.3642e+18,inja_injaneb,0.0
1.36426e+18,Ehsanviews1,0.0
1.36429e+18,alireigns1011,0.0
1.36445e+18,CryptoVizArt,0.0
1.36657e+18,WallStreetSilv,0.0
1.36704e+18,NotShelled,0.0
1.36754e+18,SepideJandaghi,0.0
1.35572e+18,GuntherEagleman,0.0
1.35564e+18,MichaelGReno,0.0
1.37028e+18,GhorbaniiNiyak,0.0
1.35042e+18,Amir_tatatio,0.0
1.34597e+18,naghi4tweeter,0.0
1.34615e+18,Homa2021,0.0
1.34628e+18,HelenArjad,0.0
1.34677e+18,Sssccpp,0.0
1.34687e+18,SenatorHagerty,0.0
1.3469e+18,limoodiran,0.0
1.34713e+18,mediahadis,0.0
1.34782e+18,Despicable_Man,0.0
1.35003e+18,shahira60210003,0.0
1.35044e+18,11__soofi,0.0
1.35526e+18,Benjamin2Buton,0.0
1.35076e+18,Sanjaribaf,0.0
1.35161e+18,F7_Arash,0.0
1.35194e+18,TheAkbarShah,0.0
1.35204e+18,ArianMutter,0.0
1.35227e+18,mojgan07798961,0.0
